# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 31K of event 'L1-dcache-load-misses:u'
# Event count (approx.): 729337502
#
# Overhead  Command   Shared Object  Symbol            
# ........  ........  .............  ..................
#
     0.20%  npb_bt_a  npb_bt_a          [.] binvrhs
     0.10%  npb_bt_a  npb_bt_a          [.] exact_rhs
     0.08%  npb_bt_a  npb_bt_a          [.] lhsinit
     0.04%  npb_bt_a  npb_bt_a          [.] initialize
     0.00%  npb_bt_a  [unknown]         [k] 0xffffffffb8e01c80


# Samples: 41K of event 'branch-loads:u'
# Event count (approx.): 262225733
#
# Overhead  Command   Shared Object  Symbol                      
# ........  ........  .............  ............................
#
    23.47%  npb_bt_a  npb_bt_a       [.] matvec_sub
    18.09%  npb_bt_a  npb_bt_a       [.] compute_rhs
    16.00%  npb_bt_a  npb_bt_a       [.] matmul_sub
    15.58%  npb_bt_a  npb_bt_a       [.] binvcrhs
     8.12%  npb_bt_a  npb_bt_a       [.] z_solve
     8.02%  npb_bt_a  npb_bt_a       [.] x_solve
     8.01%  npb_bt_a  npb_bt_a       [.] y_solve
     1.50%  npb_bt_a  npb_bt_a       [.] add
     0.50%  npb_bt_a  npb_bt_a       [.] exact_solution
     0.27%  npb_bt_a  npb_bt_a       [.] binvrhs
     0.22%  npb_bt_a  npb_bt_a       [.] lhsinit
     0.10%  npb_bt_a  npb_bt_a       [.] exact_rhs
     0.06%  npb_bt_a  npb_bt_a       [.] error_norm
     0.06%  npb_bt_a  npb_bt_a       [.] initialize
     0.01%  npb_bt_a  libc-2.28.so   [.] __mempcpy_sse2_unaligned


# Samples: 30K of event 'dTLB-load-misses:u'
# Event count (approx.): 1243211
#
# Overhead  Command   Shared Object     Symbol                
# ........  ........  ................  ......................
#
    34.87%  npb_bt_a  npb_bt_a          [.] z_solve
    15.99%  npb_bt_a  npb_bt_a          [.] x_solve
    14.43%  npb_bt_a  npb_bt_a          [.] y_solve
    11.49%  npb_bt_a  npb_bt_a          [.] matvec_sub
